,t,tx,OD,CDWOD,CDW,TDA,O2,CO2,His,Thr,Val,Trp,Phe,Ile,Leu,Lys,Glc,Man,Nag
0,0.0,0.0,0.0199,0.00382478,,-0.01495,0.0,0.0,1.504423,1.2849295,1.4562555,1.2575765,1.4844935,0.924537,1.3923895,1.3705565,1.281,1.2775,1.279
1,2.499999999941792,2.499999999941792,0.0262,0.00503564,,-0.013,0.0082779,0.016075,1.4828705,1.2841635,1.4465905,1.2514895,1.4789485,0.921981,1.3909345,1.354826,1.302,1.2865,1.296
2,5.000000000058208,5.000000000058208,0.043,0.008266875289096,,-0.008,0.099728,0.065447,1.5031495,1.274131,1.4407325,1.2467255,1.475519,0.917112,1.3787135,1.352457,1.296,1.258,1.282
3,7.5,7.5,0.0665,0.012790789033941,,0.006,0.25567,0.16901,1.4890685,1.2766235,1.446795,1.2405445,1.4848065,0.923736,1.3809195,1.345463,1.3125,1.2225,1.2655
4,9.999999999941792,9.999999999941792,0.109,0.02096512927827,,0.042,0.5753,0.368,1.5210085,1.3071065,1.477333,1.2818465,1.5195335,0.946233,1.405135,1.380182,1.3005,1.132,1.2135
5,12.500000000058208,12.500000000058208,0.1612,0.031019219175546,,0.1045,1.1352,0.69937,1.5019945,1.284272,1.4396635,1.2745835,1.509485,0.929731,1.371817,1.3694715,1.311,1.006,1.139
6,15.0,15.0,0.271,0.052263826600421,0.068666666666667,0.1864,2.0243,1.2537,1.484744,1.2617385,1.3987285,1.260356,1.490292,0.910966,1.330924,1.330188,1.3055,0.8135,1.016
7,17.499999999941792,17.499999999941792,0.404,0.077876728528549,,0.2969,3.5594,2.3044,1.432553,1.213814,1.3200695,1.204694,1.4385235,0.8714635,1.2535845,1.235076,1.271,0.5535,0.8445
8,20.000000000058208,20.000000000058208,0.653,0.12593550582527,0.125000000000008,0.4518,5.7589,3.8004,1.4381155,1.1462445,1.2317335,1.218683,1.405376,0.84074,1.2176375,1.2107185,1.3235,0.182,0.6085
9,22.5,22.5,1.039,0.200452659078704,0.209999999999999,0.653,8.8338,5.7895,1.3182795,1.101514,1.0851805,1.1367505,1.304247,0.766659,1.044785,1.02472,1.321,0.0,0.0
10,24.999999999941792,24.999999999941792,1.174,0.226579295208003,0.284999999999991,0.8516,12.599,8.4822,1.2126205,1.035451,0.865571,1.0384915,1.1418115,0.657831,0.868542,0.8184085,1.2225,0.0,0.0
11,27.500000000058208,27.500000000058208,1.428,0.275786951821238,0.305,1.0034,16.787,12.075,1.1850165,0.931094,0.693877,1.006282,1.05503,0.5812835,0.735077,0.6901735,0.872,0.0,0.0
12,29.000000000058208,29.000000000058208,1.661,0.320833700427916,0.409999999999999,1.1174,19.59,14.317,1.103048,0.844632,0.5693745,0.9441525,0.96786,0.5170575,0.6266245,0.5740855,0.5615,0.0,0.0
13,30.500000000058208,30.500000000058208,1.98,0.382306148615763,0.4,1.218,22.67,16.918,0.9757655,0.705198,0.4227925,0.84538,0.8425295,0.425784,0.476925,0.4401445,0.147,0.0,0.0
14,32.00000000005821,32.00000000005821,2.13,0.411752258725622,0.504999999999989,1.325,25.789,19.51,0.87598,0.599,0.313352,0.766071,0.7320405,0.353939,0.362433,0.3340545,0.061,0.0,0.0
15,33.5,33.50000000005821,2.21,0.427875811445509,0.51000000000001,1.395,28.39,21.938,0.749875,0.4785725,0.21615,0.6590645,0.611389,0.2831195,0.252431,0.231369,0.0,0.0,0.0
16,35.0,35.00000000005821,2.39,0.463192023081483,0.499999999999989,1.476,30.907,24.306,0.672009,0.390563,0.1434105,0.606141,0.544004,0.2309415,0.172546,0.152124,0.0,0.0,0.0
17,36.5,36.50000000005821,2.51,0.486972295019408,0.4,1.562,33.405,26.725,0.5701405,0.3014575,0.0844615,0.530838,0.469012,0.1781065,0.0944195,0.087176,0.0,0.0,0.0
18,38.0,38.00000000005821,2.67,0.518617110527437,0.419999999999998,1.622,35.903,29.102,0.461357,0.208722,0.0,0.448141,0.3950585,0.129084,0.0,0.0,0.0,0.0,0.0
19,39.5,39.50000000005821,2.8,0.544868537174366,0.560000000000027,1.669,38.337,31.587,0.334224,0.122888,0.0,0.3585495,0.328305,0.0863425,0.0,0.0,0.0,0.0,0.0
20,41.0,41.00000000005821,2.95,0.575047722621942,0.469999999999993,1.722,40.749,34.153,0.1641005,0.0557835,0.0,0.2301115,0.22217,0.0,0.0,0.0,0.0,0.0,0.0
21,42.5,42.50000000005821,3.02,0.590736534456121,0.449999999999995,1.788,43.11,36.952,0.0,0.0,0.0,0.1209885,0.1385655,0.0,0.0,0.0,0.0,0.0,0.0
22,44.0,44.00000000005821,3.02,0.591579217321622,0.600000000000001,1.832,45.347,39.604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,45.5,45.50000000005821,3.02,0.592438410591834,0.649999999999995,1.8226,47.32,41.569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,47.0,47.00000000005821,2.898,0.569962445165971,0.560000000000005,1.82,48.734,43.623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,49.5,49.5,2.78,0.548321245351302,0.680000000000014,1.8369,50.528,45.977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,51.5,51.50000000005821,2.814,0.556161706414158,0.72000000000001,1.8328,51.92,47.409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,72.0,71.00000000005821,1.935,0.393359809469625,0.550000000000006,1.765,60.164,55.757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
