,t,tx,OD,CDWOD,CDW,TDA,O2,CO2,His,Thr,Val,Trp,Phe,Ile,Leu,Lys,Glc,Man,Nag
0,0.0,0.0,0.0198,0.004380690418902,,-0.015,0.0,0.0,1.5225365,1.275765,1.556391,1.389881,1.6177805,0.9885475,1.5082395,1.462227,1.2645,1.246,1.278
1,2.499999999941792,2.499999999941792,0.026,0.005758600654526,,-0.013,0.030532,-0.037972,1.496439,1.2406385,1.518687,1.3573575,1.577971,0.965338,1.4713425,1.422615,1.2345,1.203,1.241
2,5.000000000058208,5.000000000058208,0.039,0.008623800654526,,-0.009,0.16805,0.04611,1.528223,1.2743385,1.493796,1.288387,1.506724,0.952589,1.4329825,1.384934,1.232,1.1835,1.233
3,7.5,7.5,0.058,0.012817993144539,,0.002,0.38494,0.17523,1.5445295,1.26951,1.495374,1.2903915,1.5123625,0.9574885,1.4346695,1.396812,1.2615,1.1655,1.2335
4,9.999999999941792,9.999999999941792,0.095,0.020978126360381,,0.034,0.80495,0.41554,1.5469745,1.273874,1.5023845,1.297153,1.5226255,0.9618405,1.428893,1.4019075,1.2705,1.102,1.203
5,12.500000000058208,12.500000000058208,0.1606,0.035463587541532,,0.0856,1.4719,0.81744,1.5407915,1.263987,1.4398585,1.280279,1.49626,0.9249935,1.378302,1.390562,1.2785,1.0015,1.128
6,15.0,15.0,0.2291,0.050626573190444,0.040666666666667,0.1532,2.487,1.468,1.5189225,1.241058,1.4203965,1.2818795,1.4909555,0.9229765,1.361027,1.3458195,1.3005,0.8155,0.985
7,17.499999999941792,17.499999999941792,0.3829,0.084621678954405,,0.2819,4.0699,2.5439,1.489723,1.212105,1.3733675,1.261472,1.4680345,0.903327,1.31995,1.298897,1.2775,0.6315,0.862
8,20.000000000058208,20.000000000058208,0.552,0.122175796068645,0.139999999999996,0.3812,6.2802,4.0701,1.38283,1.143953,1.2887135,1.2661145,1.4536045,0.8606885,1.2438305,1.203647,1.2545,0.323,0.638
9,22.5,22.5,0.845,0.187103983946726,0.2,0.5515,9.465,6.2932,1.336628,1.0990005,1.17059,1.2801245,1.376008,0.802486,1.1388015,1.1231395,1.282,0.0,0.354
10,24.999999999941792,24.999999999941792,1.11,0.245632739778464,0.259999999999994,0.7395,13.587,9.1823,1.2025825,1.022153,0.9400935,1.04391,1.148489,0.6860635,0.922383,0.946109,1.268,0.0,0.0
11,27.500000000058208,27.500000000058208,1.29,0.285780685442907,0.309999999999999,0.8795,18.324,13.526,1.14376,0.9417185,0.789145,0.9925505,1.056599,0.6174185,0.7963565,0.8000335,1.0295,0.0,0.0
12,29.000000000058208,29.000000000058208,1.47,0.325653910419441,0.325000000000009,0.9836,21.389,16.385,1.097651,0.8804605,0.6773075,0.956259,0.9977555,0.564383,0.701714,0.6994175,0.7865,0.0,0.0
