,t,tx,OD,CDWOD,CDW,TDA,O2,CO2,His,Thr,Val,Trp,Phe,Ile,Leu,Lys,Glc,Man,Nag
0,0.0,0.111944444444444,0.0194,0.00394402,,-0.018,-0.00056103,4.442e-05,1.5703525,1.3171875,1.41216,1.186313,1.4026815,0.895459,1.375737,1.3667265,1.299,1.2835,1.2745
1,2.499999999941792,2.505,0.0258,0.00524514,,-0.017,0.0069113,0.024781,1.588691,1.3217875,1.420172,1.201734,1.4125025,0.902255,1.38737,1.3960855,1.298,1.2735,1.2645
2,5.000000000058208,4.994722222222222,0.0427,0.008685491402854,,-0.007,0.092113,0.10107,1.5913655,1.317876,1.416397,1.195345,1.418872,0.8995035,1.383252,1.415746,1.298,1.252,1.26
3,7.5,7.490277777777778,0.0631,0.012836217272753,,0.006,0.25564,0.22003,1.568091,1.298857,1.3955125,1.1940175,1.4043085,0.887796,1.367307,1.379108,1.3025,1.2095,1.234
4,9.999999999941792,9.951388888888888,0.094,0.019128400124538,,0.032,0.56991,0.40914,1.58308,1.296233,1.3916605,1.201108,1.40803,0.888619,1.367744,1.4026285,1.3105,1.147,1.2
5,12.500000000058208,12.520555555555555,0.1515,0.030826738041287,,0.0834,1.0684,0.74652,1.57306,1.286468,1.3717755,1.195686,1.398591,0.8811335,1.344344,1.3712115,1.314,1.044,1.137
6,15.0,15.036111111111111,0.222,0.045197839317393,0.054,0.1547,1.8119,1.2199,1.523422,1.272351,1.3303275,1.159197,1.361902,0.8582435,1.285994,1.3060935,1.3165,0.8865,1.029
7,17.499999999941792,17.537777777777777,0.3537,0.072034377047881,,0.2494,2.9634,2.0529,1.472275,1.2351885,1.275113,1.136022,1.3320835,0.8306425,1.234882,1.245717,1.344,0.7145,0.9105
8,20.000000000058208,19.99138888888889,0.505,0.103013319046034,0.039999999999996,0.3615,4.5078,3.1926,1.330729,1.092399,1.2134155,1.1535895,1.333215,0.805758,1.1749415,1.194069,1.353,0.4275,0.7025
9,22.5,22.447777777777777,0.792,0.161661047523317,0.11500000000001,0.5242,6.741,4.7807,1.414477,1.1547985,1.125861,1.0919875,1.2532115,0.7654715,1.09878,1.1132975,1.454,0.0,0.4565
10,24.999999999941792,25.003055555555555,0.967,0.197362321869715,0.164999999999993,0.7058,9.9575,7.1209,1.3472655,1.074645,0.9842635,1.040209,1.168567,0.702702,0.9812065,0.9968495,1.3655,0.0,0.0
11,27.500000000058208,27.444444444444443,1.19,0.243458961491754,0.209999999999999,0.8518,13.45,9.776,1.251679,0.967395,0.8289255,0.981694,1.063659,0.6286025,0.849125,0.8261125,1.2805,0.0,0.0
12,29.000000000058208,29.006944444444443,1.262,0.258337332738952,0.270000000000004,0.9366,15.893,11.896,1.190046,0.8991425,0.7271485,0.936142,0.9944465,0.5815245,0.752706,0.7093095,1.083,0.0,0.0
13,30.500000000058208,30.4975,1.53,0.313000383224152,0.339999999999996,1.026,18.488,13.943,1.1414725,0.8970045,0.6177885,0.9056755,0.927704,0.529979,0.6744245,0.6084445,0.77,0.0,0.0
14,32.00000000005821,32.03277777777778,1.73,0.354740489135985,0.395000000000001,1.12,21.389,16.418,1.058828,0.804656,0.508109,0.8482355,0.843229,0.4708515,0.564497,0.4930615,0.4855,0.0,0.0
15,33.5,33.47222222222222,1.93,0.396427176731605,0.405,1.22,24.323,18.919,0.994159,0.7271145,0.411944,0.8042075,0.7796865,0.4179695,0.4805915,0.3957865,0.0,0.0,0.0
16,35.0,35.083888888888886,2.0,0.411403982447552,0.49499999999999,1.298,27.807,21.752,0.902717,0.6189385,0.307579,0.7290875,0.67551,0.351345,0.3660305,0.2880425,0.0,0.0,0.0
17,36.5,36.555,2.07,0.426279404899586,0.359999999999983,1.38,30.486,24.29,0.823739,0.529771,0.2266365,0.678694,0.6059295,0.3009605,0.285642,0.1968865,0.0,0.0,0.0
18,38.0,38.02194444444444,2.24,0.461574237400958,0.4,1.43,33.053,26.715,0.7603945,0.4407555,0.162074,0.6187905,0.5344625,0.2532835,0.2110585,0.1292915,0.0,0.0,0.0
19,39.5,39.50972222222222,2.45,0.504905645444282,0.439999999999996,1.493,35.776,29.184,0.6118335,0.325658,0.098327,0.5443165,0.46419,0.196474,0.116299,0.0713875,0.0,0.0,0.0
20,41.0,41.02777777777778,2.53,0.522282503841564,0.499999999999989,1.543,38.59,31.766,0.5073995,0.2440465,0.052168,0.4673565,0.375172,0.147639,0.070103,0.0,0.0,0.0,0.0
21,42.5,42.51722222222222,2.64,0.54534641633256,0.539999999999985,1.603,41.255,34.232,0.3672765,0.149467,0.0,0.3812255,0.2970835,0.098508,0.0,0.0,0.0,0.0,0.0
22,44.0,44.00972222222222,2.74,0.566705578681603,0.559999999999983,1.65,43.906,36.812,0.2116005,0.0726835,0.0,0.2689755,0.1999725,0.053511,0.0,0.0,0.0,0.0,0.0
23,45.5,45.53861111111111,2.83,0.586253103540776,0.650000000000017,1.6599,46.688,39.516,0.075684,0.027582,0.0,0.1579355,0.114435,0.0,0.0,0.0,0.0,0.0,0.0
24,47.0,46.98777777777778,2.825,0.586277365675013,0.549999999999984,1.6788,49.284,42.358,0.0,0.0,0.0,0.0456135,0.029587,0.0,0.0,0.0,0.0,0.0,0.0
25,49.5,49.48861111111111,2.781,0.578989640701461,0.639999999999996,1.6986,52.915,46.261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,51.5,51.5,2.899,0.60538909816519,0.650000000000017,1.6978,54.653,48.926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,72.0,71.05111111111111,2.131,0.455950545155713,0.609999999999999,1.651,65.078,59.612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
