,t,OD,CDWOD,CDW,TDA,S,O2,CO2
0,0.0,0.0244,0.00744688,,-0.0254,16.462086499999998,0.0,0.0
1,2.000000000058208,0.0235,0.0071722,,-0.0306,16.4201285,0.049366,0.02357
2,3.999999999941792,0.0255,0.0077826,,-0.0267,16.288596,0.15593,0.091276
3,6.0,0.0288,0.00878976,,-0.0242,16.48716,0.24001,0.1624
4,8.000000000058208,0.0337,0.01028524,,-0.017,16.2026115,0.32637,0.24052
5,9.999999999941792,0.038,0.0115976,,-0.0149,16.5648135,0.46158,0.31962
6,12.0,0.0391,0.01193332,,-0.0114,15.919234,0.56024,0.40058
7,14.000000000058208,0.0438,0.01336776,,-0.0054,16.23783,0.68077,0.49221
8,15.999999999941792,0.0511,0.01559572,,-0.0001,16.150021000000002,0.84386,0.59026
9,18.0,0.063,0.0192276,,0.0059,16.108515999999998,1.0054,0.70058
10,20.000000000058208,0.0679,0.02072308,,0.0149,16.0846045,1.2229,0.8269
11,21.999999999941792,0.0804,0.02453808,,0.0131,16.3841515,1.4979,0.9746
12,24.0,0.0859,0.02621668,,0.0231,16.519408,1.7795,1.1246
13,26.000000000058208,0.0973,0.02969596,,0.0302,16.7492154683037,2.0867,1.2964
14,27.999999999941792,0.1104,0.033695315153702,,0.0355,16.270905644864918,2.4285,1.4931
15,30.0,0.123,0.037586228965419,,0.0497,16.101361009930837,2.8166,1.722
16,32.00000000005821,0.138,0.04217231262916,,0.0505,15.977132702569552,3.2455,2.0
17,33.99999999994179,0.153,0.046766327526007,,0.0538,16.05103970256955,3.6799,2.2998
18,36.50000000005821,0.1813,0.055403487526007,,0.0645,15.598043600126427,4.3588,2.7064
19,39.000001388951205,0.2117,0.064760052003784,,0.07739999999999998,15.44784060012643,5.1477,3.1945
20,42.0,0.2546,0.077853132003784,,0.0989,15.102682600126428,6.2641,3.9266
21,44.9999986110488,0.287,0.087741612003784,0.087333333333334,0.121,14.221176600126428,7.6057,4.7903
22,47.999997222272206,0.364,0.111242012003784,,0.1584,14.481618600126428,9.2911,5.8039
23,50.99999583332101,0.4335,0.132453412003784,0.085000000000002,0.1991,13.836404600126428,11.156,6.9986
24,53.99999444436981,0.566,0.172892412003784,0.119999999999998,0.2417,12.770834100126429,13.382,8.438
25,56.999993055593215,0.619,0.189068012003784,0.190000000000001,0.2974,12.238272600126429,16.068,10.182
26,59.99999166664202,0.747,0.228133612003784,0.214999999999999,0.352,11.410329301516082,19.212,12.202
27,62.999990277690806,0.873,0.267408674281586,0.265000000000004,0.4291,10.505541347007057,22.866,14.569
28,65.99998888891423,1.028,0.314942829054215,0.285000000000002,0.4987,9.908039896859824,27.025,17.393
29,68.99998749996303,1.061,0.325516986120246,0.28999999999999,0.5724,8.745478818568163,31.599,20.598
30,71.99998611118644,1.179,0.361806410540455,0.31000000000001,0.6586,8.014312303440262,36.51,24.455
31,74.00000000005821,1.278,0.392468117166328,0.4,0.7013,7.213441451098519,40.108,27.175
32,75.99999999994179,1.343,0.412785837794204,0.454999999999994,0.7477,6.388929911839068,43.65,29.958
33,78.0,1.56,0.479770718707443,0.505,0.7859,5.770501244385471,47.195,33.077
34,80.00000000005821,1.608,0.494867002652459,0.490000000000013,0.813,4.969600602776072,50.568,36.12
35,81.99999999994179,1.67,0.514335756081732,0.55,0.837,4.419556616428701,53.783,38.815
36,84.0,1.67,0.514826154696459,,0.8538,3.857000476474131,56.869,41.265
37,86.00000000005821,1.667,0.514703213508937,0.535000000000002,0.892,3.341497312928564,59.829,43.56
38,96.0,1.64,0.508404,0.624999999999998,0.9948,0.6218158129285642,74.254,55.114
