,t,OD,CDWOD,CDW,TDA,S,O2,CO2
0,0.0,0.0194,0.00536798,,-0.00348,14.73633975,0.0,0.0
1,1.5,0.0245,0.00677915,,-0.0378,14.58719025,0.003895,0.013118
2,3.0,0.0314,0.00868838,,-0.0352,14.84625175,0.053729,0.073446
3,4.5,0.0422,0.01167674,,-0.0302,14.63469775,0.11128,0.15398
4,6.0,0.057,0.0157719,,-0.0333,14.743309750000002,0.22104,0.26613
5,7.5,0.0785,0.02172095,,-0.0284,14.6578995,0.36519,0.41748
6,9.0,0.1082,0.02993894,,-0.031,13.96855,0.60616,0.62063
7,10.5,0.1433,0.03965111,,-0.0198,14.05861775,0.96884,0.91256
8,12.0,0.2035,0.05630845,,0.0042,13.554682,1.5191,1.3274
9,13.5,0.2645,0.073199381040694,0.078666666666667,0.0465,13.78316580857094,2.289,1.8916
10,15.0,0.3448,0.095545856929191,,0.07679999999999998,12.941643393479398,3.2994,2.8108
11,16.5,0.465,0.128878732991611,0.155000000000005,0.1375,12.6032347160234,4.5554,4.076
12,18.0,0.571,0.158280770775321,0.190000000000001,0.1915,10.952033234479313,6.1848,5.6351
13,19.5,0.729,0.20218643731033,0.214999999999999,0.276,9.975417311847709,8.2086,7.4984
14,21.0,0.914,0.253581471659241,0.280000000000002,0.3677,8.79703559774682,10.669,9.4885
15,22.5,1.11,0.308259184947938,0.344999999999995,0.4852,7.050079609827602,13.655,11.958
16,24.0,1.484,0.412265937248367,0.360000000000005,0.621,5.264561286308452,17.185,14.882
17,25.5,1.677,0.466568527094322,0.475000000000014,0.7479,3.524912132851521,21.576,18.364
18,27.0,1.837,0.512741512384906,0.480000000000003,0.8499,1.421574388297282,26.309,23.201
19,28.5,1.632,0.457234126434783,0.370000000000004,0.8545,0.08290738797866,29.322,27.038
20,30.0,1.641,0.460544970729275,0.429999999999997,0.8546,0.0,30.798,30.095
21,31.5,1.512,0.42533289119062,0.309999999999988,0.8479,0.0,32.256,32.229
22,48.0,0.991,0.282445953360846,0.175000000000003,0.7839,0.0,42.073,43.12
