,t,OD,CDWOD,CDW,TDA,S,O2,CO2
0,0.0,0.0585,0.015665903948765,,-0.0065,14.4976545,0.0,0.0
1,1.8666666666395,0.074,0.019816699012112,,-0.0046,14.165317,0.385944540288283,0.206303287999457
2,3.86666666652309,0.0978,0.026190177883576,,0.0273,14.5197805,1.05752427604261,0.581069769965672
3,5.8666666665813,0.139,0.037223258955184,,0.0109,13.8318175,2.12912720721818,1.1940671577813
4,7.8666666666395,0.182,0.048738367840601,,0.0114,14.0509155,3.8278849428424,2.07939431635729
5,9.89999999996508,0.2463,0.065957472522748,,0.0375,13.8043965,6.34905205964145,3.48258447660566
6,12.0333333332674,0.333,0.089175145554506,0.116666666666667,0.0936,13.198363,10.0086538307895,5.63914456984955
7,13.9499999998952,0.408,0.109259637796512,0.124999999999997,0.1692,13.049468,14.2524510377037,8.49067653215685
8,15.8999999999651,0.962,0.257617087157463,0.185000000000002,0.2789,12.0215145,19.9949889587287,11.9127531008139
9,17.9166666665697,1.232,0.329921259228685,0.274999999999992,0.3495,11.137982,28.113127151249,17.0227960570869
10,19.950277777737895,1.57,0.420435370932658,0.4,0.4739,9.886127,39.3005085330897,24.087793413723
11,21.866666666523095,1.797,0.481224434118463,0.460000000000005,0.5681,8.1594145,53.7040266811335,33.4562353994152
12,23.866666666581295,2.701,0.723309513942108,0.700000000000001,0.7174,5.2263665,73.1366519034656,46.3452521473743
13,25.8666666666395,3.857,1.03287848769889,1.07,0.9132,0.7488025,96.41738669201027,63.0436968366436
14,26.866666666581295,4.353,1.16570392972603,1.195,0.9408,0.441274,106.010904227178,70.7457499615035
15,27.866666666523095,4.028,1.07867113001067,1.175,1.0146,0.0,111.426268579846,75.8545491148766
16,29.866666666581295,,,,,0.0,118.854507077638,84.5507441132606
17,47.949999999837,2.81,0.75249897600049,0.719999999999998,0.9784,0.0,136.02,109.65
