,t,OD,CDWOD,CDW,TDA,S,O2,CO2
0,0.0,0.0179,0.0059965,,-0.0273,14.2715,0.0,0.0
1,1.5,0.0208,0.006968,,-0.0276,14.3235,0.010567,0.045458
2,3.0,0.0237,0.0079395,,-0.0247,14.4775,0.11333,0.08485
3,4.5,0.0317,0.0106195,,-0.0056,14.5545,0.15915,0.12958
4,6.0,0.0302,0.010117,,-0.0178,14.552,0.26786,0.18642
5,7.5,0.0363,0.0121605,,-0.0142,14.643,0.41801,0.25224
6,9.0,0.042,0.014072351798927,,-0.0074,14.663450584510493,0.56132,0.34244
7,11.000000000058208,0.0602,0.020172624075725,,0.0021,14.513304718885047,0.82301,0.47879
8,12.999999999941792,0.0814,0.027279078554964,,0.0114,14.455164846357578,1.1371,0.70267
9,15.0,0.1044,0.035024554930283,,0.0233,14.468381864808306,1.5452,1.0063
10,17.000000000058208,0.1385,0.046471080328287,,0.0386,14.265946179493048,2.0822,1.4094
11,18.999999999941792,0.1835,0.061577165531005,,0.0697,14.0340236287141,2.7663,1.9511
12,21.0,0.2,0.067211089768229,0.087999999999999,0.09,13.659626160449044,3.5833,2.677
13,23.00000138883479,0.266,0.08942227691022,,0.1178,13.28062197906794,4.7343,3.7468
14,25.0000027778442,0.291,0.097967059502671,,0.1542,12.7481561840061,6.0626,5.0186
15,27.00000416667899,0.348,0.11724062442353,0.224999999999997,0.1976,12.043426999398724,7.7805,6.5602
16,29.00000555551378,0.442,0.149019232887771,0.209999999999999,0.2388,11.281650112345012,10.065,8.5792
17,31.000006944523196,0.488,0.164786257614914,0.240000000000018,,,12.516,11.006
18,33.00000833335798,0.558,0.189620952954885,0.180000000000002,0.3328,9.73623675918918,15.137,13.526
19,35.000009722192765,0.75,0.255154937184108,0.335000000000008,0.4022,8.594567610378554,17.779,16.535
20,37.00001111102756,0.879,0.299036813943633,0.324999999999998,0.4819,7.289479437293192,21.156,19.843
21,39.16666666668607,1.052,0.356991813943633,0.370000000000004,0.5038,6.224979437293192,24.387,23.305
22,41.00001388887176,1.279,0.43380310266902,0.430000000000008,0.5115,5.31950575028732,26.441,25.917
23,43.00001527770655,1.478,0.501219238905145,0.519999999999998,0.509,4.504916797353473,28.432,28.689
24,45.000016666715965,1.65,0.558839238905145,0.524999999999987,0.499,3.643916797353473,30.235,31.226
25,47.000018055550754,1.93,0.654289163624379,0.605000000000011,0.5084,3.013377078339802,31.9,33.496
26,49.000019444385536,2.07,0.701189163624379,0.640000000000018,0.4866,2.301877078339802,33.559,35.961
27,51.0,2.28,0.771796694778571,,0.4751,1.618326190014827,35.172,38.073
28,53.00000000005821,2.5,0.846049554572431,0.910000000000011,0.463,0.981284651061795,36.68,40.316
29,54.99999999994179,2.69,0.909856109190317,0.900000000000012,0.465,0.0,38.035,42.233
30,57.0,2.76,0.935707064189229,0.839999999999996,0.442,0.0,39.01,44.065
31,59.00000000005821,2.729,0.926606961023867,0.929999999999964,0.4264,0.0,39.585,45.262
32,60.99999999994179,2.729,0.926606961023867,0.730000000000008,0.421,0.0,40.157,46.187
33,63.0,2.73,0.926941961023867,0.760000000000005,0.415,0.0,40.642,46.691
34,65.00000000005821,2.69,0.913541961023867,0.78999999999998,0.408,0.0,41.094,47.097
35,66.99999999994179,2.69,0.913541961023867,0.760000000000005,0.402,0.0,41.559,47.478
36,71.00000000005821,2.66,0.903491961023867,0.81,0.398,0.0,42.416,48.194
37,75.0,2.42,0.823091961023867,0.700000000000012,0.388,0.0,43.266,48.876
