,t,OD,CDWOD,CDW,TDA,S,O2,CO2
0,0.0,0.0175,0.00389025,,-0.0311,15.469361,0.0,0.0
1,2.000000000058208,0.0215,0.004780790019699,,-0.0305,15.102046990860632,0.0097546,0.077422
2,5.000000000058208,0.0251,0.005584218493861,,-0.0278,15.254271777132384,0.095912,0.28101
3,8.000000000058208,0.0303,0.006742090356298,,-0.0256,15.239736064270344,0.20105,0.44946
4,11.000000000058208,0.0358,0.007965856334263,,-0.0184,15.04574969088797,0.2947,0.63486
5,14.000000000058208,0.0438,0.009749855383872,,-0.014,14.817770587693788,0.42397,0.86116
6,17.000000000058208,0.0527,0.01173226910172,,-0.0082,14.653009259848512,0.52966,1.1338
7,20.000000000058208,0.0638,0.014209409377579,,0.0006,14.917472914368608,0.67607,1.4536
8,23.000000000058208,0.0756,0.016842395826116,,0.0074,14.892673276964128,0.8928,1.8287
9,26.000000000058208,0.0875,0.019502048580648,,0.0189,14.897052167437034,1.1619,2.2695
10,29.000000000058208,0.1028,0.022916794883084,,0.0289,14.18357055134578,1.4674,2.7515
11,32.00000000005821,0.1184,0.026408244003164,,0.0392,14.221608938463152,1.8237,3.2796
12,35.00000000005821,0.1357,0.030278082050031,,0.0439,13.967747560689084,2.1999,3.8867
13,38.00000000005821,0.1549,0.034591269394777,,0.0618,14.071563613798082,2.6355,4.5621
14,41.00000000005821,0.1824,0.040765416456009,,0.0902,13.715153580460935,3.1276,5.3304
15,44.00000000005821,0.2213,0.049706128137904,,0.1152,13.58242735118284,3.7708,6.1893
16,47.00000000005821,0.2601,0.058453714285782,,0.1466,13.265325364373284,4.514,7.2502
17,50.00000000005821,0.2994,0.067362268266721,0.07,0.1743,13.11576564679714,5.4345,8.4381
18,53.00000000005821,0.3516,0.079088388741931,,0.2283,12.515661329122846,6.5531,9.8882
19,56.00000000005821,0.3888,0.087538180815476,0.08999999999999,0.2664,12.18594115345871,7.7444,11.442
20,59.00000000005821,0.4193,0.094516910335822,0.070000000000014,0.2834,11.880413615902023,8.8923,13.091
21,62.00000000005821,0.4657,0.105055672758085,0.070000000000003,0.3228,11.322595820836217,10.189,14.855
22,65.00000000005821,0.518,0.11691512348656,0.1,0.3602,10.592469324780495,11.592,16.767
23,68.00000000005821,0.618,0.139480480575371,0.11500000000001,0.3979,10.269065895460546,13.352,18.871
24,71.00000000005821,0.67,0.151497079062132,0.109999999999988,0.4329,9.683185118300694,15.228,21.188
25,74.00000000005821,0.724,0.163908684770428,0.139999999999996,0.4658,9.21134677678726,17.129,23.902
26,77.00000000005821,0.825,0.186946622216269,0.150000000000006,0.505,8.549782873116657,19.257,26.833
27,80.00000000005821,0.868,0.19726433630834,0.170000000000003,0.5502,7.770354646754384,21.525,29.735
28,83.00000000005821,0.876,0.199796052663216,0.205,0.5518,7.023666508555444,23.998,32.911
29,86.00000000005821,1.005,0.22913611843525,0.219999999999998,0.5819,6.306570824186177,26.594,36.661
30,89.00000000005821,1.093,0.249644795059663,0.274999999999992,0.6472,5.375363962533185,29.425,40.378
31,92.00000000005821,1.219,0.278732993788457,0.285000000000002,0.7272,4.73515773511765,32.464,44.338
32,95.00000000005821,1.322,0.302985248208784,0.295000000000012,0.7379,3.801004918207426,35.664,48.672
33,98.00000000005821,1.354,0.311497632511209,0.309999999999999,0.7855,2.859403074332872,39.036,53.269
34,101.0000000000582,1.421,0.328072781078754,0.360000000000005,0.8276,1.933747533224132,42.672,57.938
35,104.0000000000582,1.554,0.359139934563058,0.279999999999991,0.8734,0.790207302126165,46.324,62.94
36,108.0,1.431,0.332862997191583,,0.8708,0.0,49.81,68.191
37,111.0,1.328,0.310265246264095,,0.8594,0.0,51.063,69.766
