,t,OD,CDWOD,CDW,TDA,S,O2,CO2
0,0.133333333418705,0.021,0.0063105,,-0.0303,14.772,0.0,0.0
1,1.883333333360497,0.0239,0.007184486458514,,-0.0303,14.567643056845164,-0.081313,0.067388
2,3.883333333418705,0.036,0.010822423855448,,-0.0227,14.615191601005003,-0.058374,0.18419
3,5.883333333476912,0.0493,0.014821675415296,,-0.0067,14.557246159573925,0.042217,0.32352
4,7.883333333360497,0.0697,0.020959279891546,,0.0143,14.429842010005087,0.27401,0.52812
5,9.883333333418705,0.109,0.03278662667408,,0.0413,14.171486239887358,0.61915,0.85822
6,11.883333333476912,0.1423,0.042816241724125,,0.0692,14.10004232225687,1.183,1.335
7,13.883333333360495,0.1823,0.05491232630947,,0.1025,13.811656124422704,1.9066,1.9518
8,15.883333333418705,0.2412,0.072686253412857,,0.1439,13.521985343495484,2.7837,2.702
9,17.883333333476912,0.2931,0.088432881487302,0.098666666666668,0.1918,13.1132723042681,3.8019,3.6983
10,19.883333333360497,0.3704,0.111707124100779,,0.2288,12.681429599704265,4.983,4.8924
11,21.883333333418705,0.3992,0.120501929626048,0.11500000000001,0.2611,12.422846495538428,6.2942,6.178
12,23.883333333476912,0.4893,0.147949597081276,0.220000000000009,0.3063,11.824971472043048,7.7124,7.6539
13,25.883333333360497,0.586,0.177304030360316,0.250000000000006,0.3555,11.383352785791896,9.5005,9.3262
14,27.883333333418705,0.67,0.203031562545541,0.309999999999988,0.41,10.7713960689066,11.556,11.118
15,29.883333333476912,0.806,0.244167180089618,0.314999999999988,0.4624,9.938166933923416,13.777,13.08
16,31.883333333360497,0.951,0.289642010170635,0.359999999999994,0.527,9.099582314640225,16.184,14.888
17,33.883333333418705,1.162,0.353843575347128,0.360000000000005,0.5826,7.927046773715962,19.459,16.904
18,35.88333333347691,1.36,0.414454544879193,0.465000000000004,0.6331,6.687469933397334,23.457,20.093
19,37.8833333333605,1.642,0.499507024108333,0.575000000000003,0.6548,5.672369293475072,26.364,23.026
20,39.88333333341871,1.969,0.597770524108333,0.629999999999997,0.6547,4.740369293475073,28.941,25.895
21,41.88333333347691,2.361,0.715566524108333,0.670000000000004,0.6469,3.874369293475072,31.275,28.658
22,43.8833333333605,2.68,0.812623416227408,0.754999999999995,0.638,3.046465470602807,33.338,31.094
23,45.88333333341871,2.977,0.902261772010764,,0.625,2.292837275342755,35.313,33.313
24,47.88333333347691,3.3,0.999548754752744,0.885000000000014,0.6123,1.541621274681971,37.169,35.504
25,49.8833333333605,3.71,1.122753754752744,0.885000000000002,0.6021,0.813621274681971,38.925,37.742
26,51.88333333341871,3.71,1.125366214460827,0.99999999999999,0.5846,0.0,40.644,39.732
27,53.88333333347691,3.717,1.12988805662421,0.949999999999995,0.5686,0.0,42.223,41.527
28,55.8833333333605,3.666,1.115407265312719,0.995000000000001,0.5511,0.0,43.656,43.251
29,57.88333333341871,3.569,1.088623413455985,1.049999999999973,0.5327,0.0,44.897,44.842
30,59.88333333347691,3.499,1.072665643314399,0.929999999999986,0.5198,0.0,45.29,46.211
31,71.05000000004657,3.372,1.036091701532786,0.869999999999993,0.4841,0.0,46.229,49.694
