,t,OD,CDWOD,CDW,TDA,S,O2,CO2
0,0.0,0.0208,0.00732368,,-0.034,14.931029,0.0,0.0
1,1.5,0.0253,0.008909494642776,,-0.0333,14.63981734053404,0.016502,0.0033675
2,3.0,0.0297,0.010458734642776,,-0.0353,14.68005884053404,0.09456,0.042986
3,4.5,0.0381,0.013416374642776,,-0.0342,14.554143340534038,0.20412,0.093585
4,6.0,0.0453,0.015951494642776,,-0.0344,14.63886734053404,0.34496,0.15517
5,7.5,0.056,0.019718964642776,,-0.0339,14.398424840534036,0.53085,0.23502
6,9.0,0.0726,0.025563824642776,,-0.0325,14.36963334053404,0.7751,0.34253
7,10.5,0.092,0.032394564642776,,-0.0337,14.38019184053404,1.1008,0.48202
8,12.0,0.1287,0.045316634642776,,-0.0318,14.139006340534038,1.5139,0.66075
9,14.000000000058208,0.181,0.063820874127122,,-0.0309,13.922549831771208,2.2383,0.99791
10,15.999999999941792,0.2457,0.086601744127122,,-0.0293,13.322784831771209,3.1793,1.4431
11,17.999997222272214,0.3068,0.108574444774942,0.104666666666667,-0.0316,13.197342411202529,4.4397,2.0661
12,19.999995833379216,0.4042,0.142868984774942,,-0.0249,12.734792911202527,6.1458,2.9328
13,21.999994444486216,0.543,0.192358432158605,0.244999999999995,-0.0265,12.377634328666504,8.2282,3.9601
14,23.999993055593222,0.717,0.255931817130527,0.349999999999995,-0.0183,12.018835315838292,10.982,5.3303
15,25.999991666700225,0.957,0.342498363552937,0.370000000000004,0.0179,11.083085905222203,14.491,7.0067
16,27.99999027780723,1.229,0.439807499948502,0.444999999999995,0.0573,9.962434030128698,18.557,9.0682
17,29.99998888891423,1.526,0.551509129076316,0.559999999999994,0.129,9.215342573561788,23.682,11.738
18,31.999987500021238,1.88,0.677852965022135,0.729999999999997,0.154,7.429194839067309,29.67,15.019
19,33.99998611112824,2.27,0.821265522970531,0.839999999999996,0.175,5.870103606939526,36.276,19.111
20,35.99998472223524,2.616,0.944324007375916,0.895000000000001,0.2544,4.345023422622572,43.751,23.78
21,37.99998333334224,2.963,1.070304920938784,0.980000000000003,0.2729,2.311404556463444,52.094,28.817
22,39.999981944449246,3.374,1.219965070076745,1.145000000000007,0.3262,0.730547946291552,61.088,34.128
23,41.99998055555625,3.242,1.174796135044341,1.170000000000004,0.3856,0.0,68.907,39.398
24,43.999979166663245,3.026,1.099575558352771,1.075000000000004,0.4095,0.0,73.32899999999998,43.68
25,45.999977777770255,2.81,1.024656791998468,1.095000000000002,0.42,0.0,76.355,47.068
26,47.99997638887726,2.635,0.96401850771369,1.005,0.4169,0.0,78.851,49.904
27,54.0,2.235,0.825891661979948,0.849999999999995,0.3987,0.0,83.82599999999998,55.456
