,t,OD,CDWOD,CDW,TDA,S,O2,CO2
0,0.0,0.0187,0.00512006,,-0.0342,14.19689575,0.0,0.0
1,1.5,0.0252,0.00689976,,-0.1503,14.316138,0.025788,0.041725
2,3.0,0.035,0.009583,,-0.0212,14.2283715,0.06968,0.1082
3,4.5,0.0427,0.01169126,,-0.0341,13.8746985,0.14242,0.18526
4,6.0,0.0574,0.015721555679735,,-0.035,13.602930921712687,0.26769,0.28925
5,7.5,0.077,0.021088035679735,,-0.0342,13.795401171712689,0.43178,0.45035
6,9.0,0.1115,0.030534135679735,,-0.03,13.432704921712688,0.70442,0.66955
7,10.5,0.1444,0.039549004005303,,-0.0184,13.497591178202612,1.0624,0.96509
8,12.0,0.2083,0.057044824005303,,0.0061,12.554847678202613,1.5641,1.3889
9,13.5,0.2699,0.073924360198138,0.082000000000001,0.041,11.946636362399683,2.2565,1.9475
10,15.0,0.3471,0.095118404382306,,0.0762,11.662620640565988,3.1559,2.7073
11,16.5,0.441,0.120901647263852,0.195000000000001,0.1272,10.595622370812888,4.2461,3.705
12,18.0,0.521,0.142892997613953,0.150000000000006,0.1722,9.037200760727538,5.6148,5.0016
13,19.5,0.671,0.184129471397195,0.165000000000004,0.2476,8.529675803039854,7.2851,6.4712
14,21.0,0.823,0.226020036740571,0.259999999999994,0.3108,7.086015335559092,9.2044,8.2765
15,22.5,1.014,0.278636850228494,0.269999999999992,0.3907,5.57263255206423,11.431,10.249
16,24.0,1.294,0.355850548214972,0.329999999999997,0.5082,4.705592480290738,14.113,12.453
17,25.5,1.532,0.421934975345055,0.434999999999997,0.6269,2.691767775591901,17.201,15.249
18,27.0,1.831,0.505306737785171,0.479999999999992,0.7395,0.676215265337935,20.549,18.758
19,28.5,1.796,0.497111657527858,0.419999999999998,0.8191,0.0,23.597,22.065
20,30.0,1.683,0.467159454681515,0.430000000000019,0.8142,0.0,25.212,24.874
21,31.5,1.598,0.444642924712145,0.439999999999996,0.7864,0.0,26.507,27.039
22,48.0,1.044,0.293991494099077,0.144999999999995,0.7141,0.0,36.575,37.911
