,t,OD,CDWOD,CDW,TDA,S,O2,CO2
0,0.0,0.0187,0.00569789,,-0.0212,13.5390685,0.0,0.0
1,2.000000000058208,0.022,0.0067034,,-0.0184,13.7931065,0.06304,0.030829
2,3.999999999941792,0.027,0.0082269,,-0.0161,13.5967935,0.23211,0.10618
3,6.0,0.0311,0.00947617,,-0.0128,13.784175500000002,0.47794,0.21346
4,8.000000000058208,0.0386,0.01176142,,-0.0087,13.8793195,0.77355,0.35448
5,9.999999999941792,0.0482,0.01468654,,-0.0033,13.988265,1.1117,0.53065
6,11.833333333313933,0.0562,0.01712414,,0.0028,13.714367,1.4981,0.7314
7,14.000000000058208,0.0673,0.02050631,,0.0126,13.821307,2.0154,1.0403
8,15.999999999941792,0.0817,0.02489399,,0.0244,13.705748,2.6225,1.4124
9,18.0,0.0972,0.02961684,,0.0436,13.6355295,3.3201,1.8748
10,20.000000000058208,0.1178,0.03589366,,0.0695,13.299971,4.139,2.4351
11,21.999999999941792,0.1423,0.04335881,,0.1018,13.135307,5.1639,3.1222
12,24.0,0.177,0.0539319,,0.1454,13.1548835,6.3588,3.9626
13,26.000000000058208,0.2167,0.06602849,,0.196,12.91943,7.8158,5.0076
14,27.999999999941792,0.2622,0.07989234,0.069333333333333,0.2588,12.5229265,9.5639,6.2705
15,30.0,0.305,0.0929335,,0.328,12.39861,11.53,7.7485
16,32.00000000005821,0.3674,0.11194678,0.090000000000012,0.4147,11.981404,14.03,9.5203
17,33.99999999994179,0.4364,0.13297108,0.129999999999997,0.5168,11.809455,16.931,11.59
18,36.0,0.522,0.1590534,0.154999999999994,0.629,11.5128695,20.186,13.908
19,38.49999999994179,0.61,0.185867,0.205,0.7866,10.6213395,24.731,17.025
20,41.00000000005821,0.707,0.2154229,0.285000000000002,0.9609,9.739133,29.961,20.755
21,43.500001388951205,0.828,0.253541082274015,0.270000000000015,1.1119,9.210961273172083,35.701,25.494
22,46.0000027778442,0.972,0.298053133043789,0.309999999999988,1.251,8.125101325545696,41.79,30.826
23,48.5000041667372,1.088,0.334033916085282,0.329999999999986,1.38,7.522520569237723,48.278,36.261
24,50.75000000005821,1.24,0.380779001180288,0.365000000000004,1.4744,6.854756263045398,54.761,41.822
25,53.00000000005821,1.377,0.42315247624793,0.380000000000003,1.5426,5.957295026567881,61.795,47.873
26,55.5,1.614,0.496246975956954,0.490000000000013,1.6071,5.141931715158627,70.128,55.267
27,57.99999999994179,1.744,0.536849008717577,0.524999999999998,1.6392,4.351128479293284,79.211,63.186
28,61.00001111102756,1.985,0.612213911264762,0.634999999999997,1.6235,3.28643186665155,91.313,73.799
29,63.50001249992056,2.166,0.669055803022405,0.679999999999992,1.5701,2.456907022182893,102.16,83.819
30,66.00001250003697,2.526,0.78077315624007,0.689999999999968,1.4998,1.72055269600437,113.99,94.501
31,69.0,2.886,0.893420388747409,0.889999999999991,1.3387,0.881556179744771,129.61,109.16
32,71.99998749996303,2.997,0.93075814446794,0.939999999999985,1.195,0.198943367845335,146.5,125.51
33,74.99997222219825,2.635,0.823277607999057,0.89999999999999,1.1533,0.0,159.26,139.48
