,t,OD,CDWOD,CDW,TDA,S,O2,CO2
0,0.0,0.0184,0.00586592,,-0.0339,14.75062025,0.0,0.0
1,1.5,0.0234,0.00745992,,-0.1119,14.4185655,0.057506,0.046204
2,3.0,0.0327,0.01042476,,-0.0289,14.57007475,0.13404,0.12712
3,4.5,0.0441,0.01405908,,-0.0356,14.4109755,0.24018,0.22959
4,6.0,0.0615,0.0196062,,-0.035,13.80289975,0.42292,0.37106
5,7.5,0.0854,0.02722552,,-0.0337,13.786483,0.69453,0.56919
6,9.0,0.1268,0.04042384,,-0.026,13.2711795,1.1188,0.85417
7,10.5,0.1733,0.05524804,,-0.0016,12.715299,1.8045,1.2972
8,12.0,0.2422,0.07721336,,0.0306,12.4619835,2.7344,1.9246
9,13.5,0.3198,0.102007783930349,0.077333333333334,0.068,11.602199726457872,3.827,2.7092
10,15.0,0.3918,0.125339404961028,,0.1123,10.901771005523033,5.2698,3.7888
11,16.5,0.521,0.166593628357438,0.180000000000002,0.1847,10.595938923815169,7.0494,5.2226
12,18.0,0.646,0.206550873729289,0.190000000000001,0.2382,9.614055512668656,9.3065,7.0182
13,19.5,0.826,0.264132073409316,0.274999999999992,0.3184,8.25277650610751,12.083,9.3888
14,21.0,1.002,0.320504811852267,0.330000000000008,0.4141,6.653776754688463,15.442,12.151
15,22.5,1.261,0.403515412992056,0.419999999999998,0.5293,4.77492638943626,19.354,15.297
16,24.0,1.388,0.444530757286274,0.485000000000013,0.6742,2.544841623535966,24.058,19.074
17,25.5,1.848,0.592252402930067,0.540000000000007,0.8132,0.243644322544167,29.773,23.952
18,27.0,1.871,0.601125298127288,,0.8373,0.0,34.515,28.776
19,28.5,1.66,0.535256965223883,,0.8662,0.0,36.616,32.454
20,30.0,1.572,0.508055108915406,0.500000000000012,0.8486,0.0,38.431,35.662
21,31.5,1.438,0.465833386275937,0.469999999999993,0.8455,0.0,40.401,38.32
22,48.0,0.94,0.308971354034705,0.239999999999996,0.7788,0.0,52.341,52.531
